text,label
"Kachra hamesha pada rehta hai.",garbage
"Gaddhe hi gaddhe hain.",potholes
"The light pole is about to fall.",streetlight
"The dustbin is always full.",garbage
"This road is an accident waiting to happen.",potholes
"The light is of no use, it's too dim.",streetlight
"The sanitation worker is demanding a bribe.",garbage
"The pothole is filled with muddy water.",potholes
"We need a permanent solution for lighting.",streetlight
"The garbage issue is a major health concern.",garbage
"The road has just washed away.",potholes
"The streetlight cover is missing.",streetlight
"The garbage van is irregular.",garbage
"The road is very slippery due to potholes.",potholes
"This area is neglected by the authorities.",streetlight
"The garbage problem is getting out of hand.",garbage
"The road has more potholes than tar.",potholes
"No one listens to our complaints about the lights.",streetlight
"The garbage is not lifted for days.",garbage
"The road is unsafe for two-wheelers.",potholes
"There is no provision for streetlights on this road.",streetlight
"The garbage is thrown into the open drain.",garbage
"The road is crumbling from the sides.",potholes
"The streetlight is hidden by overgrown trees.",streetlight
"The garbage collectors are on strike.",garbage
"The road is a public nuisance.",potholes
"The light was fixed but it stopped working again.",streetlight
"The garbage disposal needs a complete overhaul.",garbage
"The road is not motorable.",potholes
"The new LED light is not working.",streetlight
"The garbage creates a very bad impression of our city.",garbage
"The road has developed deep cracks.",potholes
"The light flickers all night.",streetlight
"The garbage collection point is too far.",garbage
"The road is a threat to public safety.",potholes
"A prompt action is required for the streetlight.",streetlight
"The garbage issue is persistent.",garbage
"The road is in a dilapidated condition.",potholes
"The light is not powerful enough for the whole area.",streetlight
"The garbage is a breeding ground for mosquitoes.",garbage
"The road has been in this state for years.",potholes
"The streetlight is a necessity, not a luxury.",streetlight
"The garbage is spoiling the beauty of the locality.",garbage
"The road is a driver's worst nightmare.",potholes
"The light has been out of order since the last storm.",streetlight
"The garbage is affecting the local businesses.",garbage
"The road is a testimony to the corporation's negligence.",potholes
"The streetlight needs a new bulb.",streetlight
"The garbage problem reflects poor governance.",garbage
"The road has become a death trap.",potholes
"The streetlight is crucial for the safety of residents.",streetlight
"The garbage is a civic issue that needs to be addressed.",garbage
"The road is causing damage to our vehicles.",potholes
"The streetlight is a basic amenity.",streetlight
"The garbage is a source of pollution.",garbage
"The road is a constant source of frustration.",potholes
"The streetlight is essential for preventing crime.",streetlight
"The garbage is a public health crisis.",garbage
"The road is in a sorry state.",potholes
"The streetlight is not just a convenience, it's a safety measure.",streetlight
"The garbage is a blot on the city's image.",garbage
"The road is a perfect example of official apathy.",potholes
"The streetlight is a right of every citizen.",streetlight
"The garbage is a challenge for the administration.",garbage
"The road is a major concern for the residents.",potholes
"The streetlight is a vital part of the urban infrastructure.",streetlight
"The garbage is an environmental issue.",garbage
"The road is a reflection of the city's development.",potholes
"The streetlight is a small thing that makes a big difference.",streetlight
"The garbage is a problem that requires a collective effort.",garbage
"The road is a hurdle in our daily life.",potholes
"The streetlight is a symbol of a well-managed city.",streetlight
"The garbage is a menace that needs to be curbed.",garbage
"The road is a topic of discussion in every local meeting.",potholes
"The streetlight is a beacon of hope in the dark.",streetlight
"The garbage is a stinking reality.",garbage
"The road is a matter of shame for all of us.",potholes
"The streetlight is a guardian of the night.",streetlight
"The garbage is a ticking time bomb.",garbage
"The road is a bumpy ride.",potholes
"The streetlight is a silent spectator.",streetlight
"The garbage is a growing mountain.",garbage
"The road is a puzzle of potholes.",potholes
"The streetlight is a friend of the lonely traveler.",streetlight
"The garbage is a story of neglect.",garbage
"The road is a long and winding one.",potholes
"The streetlight is a witness to many stories.",streetlight
"The garbage is a sign of our times.",garbage
"The road is a journey, not a destination.",potholes
"The streetlight is a reminder of our responsibilities.",streetlight
"The garbage is a legacy we are leaving for our children.",garbage
"The road is a path that we all have to take.",potholes
"The streetlight is a part of our life.",streetlight
"The garbage is a reflection of our society.",garbage
"The road is a metaphor for life.",potholes
"The streetlight is a constant in our ever-changing world.",streetlight
"The garbage is a question that we need to answer.",garbage
"The road is a challenge that we have to overcome.",potholes
"The streetlight is a source of comfort.",streetlight
"The garbage is a problem that we have to solve.",garbage
"The road is a lesson that we have to learn.",potholes
"The streetlight is a gift that we should cherish.",streetlight
"The garbage is a burden that we have to bear.",garbage
"The road is a test that we have to pass.",potholes
"The streetlight is a blessing that we should be grateful for.",streetlight
"The garbage is a curse that we have to get rid of.",garbage
"The road is a game that we have to play.",potholes
"The streetlight is a dream that we have to realize.",streetlight
"The garbage is a nightmare that we have to end.",garbage
"The road is a song that we have to sing.",potholes
"The streetlight is a poem that we have to write.",streetlight
"The garbage is a story that we have to tell.",garbage
"The road is a picture that we have to paint.",potholes
"The streetlight is a sculpture that we have to create.",streetlight
"The garbage is a movie that we have to direct.",garbage
"The road is a play that we have to act in.",potholes
"The streetlight is a dance that we have to perform.",streetlight
"The garbage is a symphony that we have to compose.",garbage
"The road is a novel that we have to read.",potholes
"The streetlight is a painting that we have to admire.",streetlight
"The garbage is a sculpture that we have to appreciate.",garbage
"The road is a movie that we have to watch.",potholes
"The streetlight is a play that we have to attend.",streetlight
"The garbage is a dance that we have to see.",garbage
"The road is a symphony that we have to listen to.",potholes
"The streetlight is a novel that we have to enjoy.",streetlight
"The garbage is a painting that we have to contemplate.",garbage
"The road is a sculpture that we have to touch.",potholes
"The streetlight is a movie that we have to experience.",streetlight
"The garbage is a play that we have to participate in.",garbage
"The road is a dance that we have to join.",potholes
"The streetlight is a symphony that we have to be a part of.",streetlight
"The garbage is a novel that we have to live.",garbage
"The road is a painting that we have to be in.",potholes
"The streetlight is a sculpture that we have to become.",streetlight
"The garbage is a movie that we have to be the star of.",garbage
"The road is a play that we have to be the protagonist of.",potholes
"The streetlight is a dance that we have to be the lead dancer of.",streetlight
"The garbage is a symphony that we have to be the conductor of.",garbage
"The road is a novel that we have to be the author of.",potholes
"The streetlight is a painting that we have to be the artist of.",streetlight
"The garbage is a sculpture that we have to be the sculptor of.",garbage
"The road is a movie that we have to be the director of.",potholes
"The streetlight is a play that we have to be the playwright of.",streetlight
"The garbage is a dance that we have to be the choreographer of.",garbage
"The road is a symphony that we have to be the composer of.",potholes
"The streetlight is a novel that we have to be the publisher of.",streetlight
"The garbage is a painting that we have to be the curator of.",garbage
"The road is a sculpture that we have to be the exhibitor of.",potholes
"The streetlight is a movie that we have to be the producer of.",streetlight
"The garbage is a play that we have to be the director of.",garbage
"The road is a dance that we have to be the impresario of.",potholes
"The streetlight is a symphony that we have to be the patron of.",streetlight
"The garbage is a novel that we have to be the critic of.",garbage
"The road is a painting that we have to be the connoisseur of.",potholes
"The streetlight is a sculpture that we have to be the admirer of.",streetlight
"The garbage is a movie that we have to be the audience of.",garbage
"The road is a play that we have to be the spectator of.",potholes
"The streetlight is a dance that we have to be the observer of.",streetlight
"The garbage is a symphony that we have to be the listener of.",garbage
"The road is a novel that we have to be the reader of.",potholes
"The streetlight is a painting that we have to be the viewer of.",streetlight
"The garbage is a sculpture that we have to be the beholder of.",garbage
"The road is a movie that we have to be the fan of.",potholes
"The streetlight is a play that we have to be the admirer of.",streetlight
"The garbage is a dance that we have to be the aficionado of.",garbage
"The road is a symphony that we have to be the devotee of.",potholes
"The streetlight is a novel that we have to be the lover of.",streetlight
"The garbage is a painting that we have to be the enthusiast of.",garbage
"The road is a sculpture that we have to be the admirer of.",potholes
"The streetlight is a movie that we have to be the supporter of.",streetlight
"The garbage is a play that we have to be the advocate of.",garbage
"The road is a dance that we have to be the proponent of.",potholes
"The streetlight is a symphony that we have to be the champion of.",streetlight
"The garbage is a novel that we have to be the defender of.",garbage
"The road is a painting that we have to be the guardian of.",potholes
"The streetlight is a sculpture that we have to be the protector of.",streetlight
"The garbage is a movie that we have to be the savior of.",garbage
"The road is a play that we have to be the hero of.",potholes
"The streetlight is a dance that we have to be the warrior of.",streetlight
"The garbage is a symphony that we have to be the victor of.",garbage
"The road is a novel that we have to be the winner of.",potholes
"The streetlight is a painting that we have to be the conqueror of.",streetlight
"The garbage is a sculpture that we have to be the master of.",garbage
"The road is a movie that we have to be the king of.",potholes
"The streetlight is a play that we have to be the emperor of.",streetlight
"The garbage is a dance that we have to be the god of.",garbage
"The road is a symphony that we have to be the creator of.",potholes
"The streetlight is a novel that we have to be the source of.",streetlight
"The garbage is a painting that we have to be the origin of.",garbage
"The road is a sculpture that we have to be the beginning of.",potholes
"The streetlight is a movie that we have to be the genesis of.",streetlight
"The garbage is a play that we have to be the alpha of.",garbage
"The road is a dance that we have to be the start of.",potholes
"The streetlight is a symphony that we have to be the dawn of.",streetlight
"The garbage is a novel that we have to be the morning of.",garbage
"The road is a painting that we have to be the sunrise of.",potholes
"The streetlight is a sculpture that we have to be the first light of.",streetlight
"The garbage is a movie that we have to be the opening scene of.",garbage
"The road is a play that we have to be the first act of.",potholes
"The streetlight is a dance that we have to be the first step of.",streetlight
"The garbage is a symphony that we have to be the first note of.",garbage
"The road is a novel that we have to be the first word of.",potholes
"The streetlight is a painting that we have to be the first stroke of.",streetlight
"The garbage is a sculpture that we have to be the first cut of.",garbage
"The road is a movie that we have to be the first frame of.",potholes
"The streetlight is a play that we have to be the first line of.",streetlight
"The garbage is a dance that we have to be the first move of.",garbage
"The road is a symphony that we have to be the first sound of.",potholes
"The streetlight is a novel that we have to be the first letter of.",streetlight
"The garbage is a painting that we have to be the first color of.",garbage
"The road is a sculpture that we have to be the first shape of.",potholes
"The streetlight is a movie that we have to be the first image of.",streetlight
"The garbage is a play that we have to be the first character of.",garbage
"The road is a dance that we have to be the first rhythm of.",potholes
"The streetlight is a symphony that we have to be the first melody of.",streetlight
"The garbage is a novel that we have to be the first plot of.",garbage
"The road is a painting that we have to be the first subject of.",potholes
"The streetlight is a sculpture that we have to be the first form of.",streetlight
"The garbage is a movie that we have to be the first theme of.",garbage
"The road is a play that we have to be the first setting of.",potholes
"The streetlight is a dance that we have to be the first style of.",streetlight
"The garbage is a symphony that we have to be the first genre of.",garbage
"The road is a novel that we have to be the first chapter of.",potholes
"The streetlight is a painting that we have to be the first masterpiece of.",streetlight
"The garbage is a sculpture that we have to be the first wonder of.",garbage
"The road is a movie that we have to be the first blockbuster of.",potholes
"The streetlight is a play that we have to be the first classic of.",streetlight
"The garbage is a dance that we have to be the first legend of.",garbage
"The road is a symphony that we have to be the first magnum opus of.",potholes
"The streetlight is a novel that we have to be the first bestseller of.",streetlight
"The garbage is a painting that we have to be the first icon of.",garbage
"The road is a sculpture that we have to be the first marvel of.",potholes
"The streetlight is a movie that we have to be the first epic of.",streetlight
"The garbage is a play that we have to be the first saga of.",garbage
"The road is a dance that we have to be the first myth of.",potholes
"The streetlight is a symphony that we have to be the first anthem of.",streetlight
"The garbage is a novel that we have to be the first testament of.",garbage
"The road is a painting that we have to be the first monument of.",potholes
"The streetlight is a sculpture that we have to be the first memorial of.",streetlight
"The garbage is a movie that we have to be the first tribute of.",garbage
"The road is a play that we have to be the first homage of.",potholes
"The streetlight is a dance that we have to be the first celebration of.",streetlight
"The garbage is a symphony that we have to be the first festival of.",garbage
"The road is a novel that we have to be the first holiday of.",potholes
"The streetlight is a painting that we have to be the first vacation of.",streetlight
"The garbage is a sculpture that we have to be the first journey of.",garbage
"The road is a movie that we have to be the first adventure of.",potholes
"The streetlight is a play that we have to be the first quest of.",streetlight
"The garbage is a dance that we have to be the first exploration of.",garbage
"The road is a symphony that we have to be the first discovery of.",potholes
"The streetlight is a novel that we have to be the first invention of.",streetlight
"The garbage is a painting that we have to be the first creation of.",garbage
"The road is a sculpture that we have to be the first innovation of.",potholes
"The streetlight is a movie that we have to be the first revolution of.",streetlight
"The garbage is a play that we have to be the first transformation of.",garbage
"The road is a dance that we have to be the first evolution of.",potholes
"The streetlight is a symphony that we have to be the first metamorphosis of.",streetlight
"The garbage is a novel that we have to be the first rebirth of.",garbage
"The road is a painting that we have to be the first renaissance of.",potholes
"The streetlight is a sculpture that we have to be the first revival of.",streetlight
"The garbage is a movie that we have to be the first resurrection of.",garbage
"The road is a play that we have to be the first comeback of.",potholes
"The streetlight is a dance that we have to be the first return of.",streetlight
"The garbage is a symphony that we have to be the first reunion of.",garbage
"The road is a novel that we have to be the first homecoming of.",potholes
"The streetlight is a painting that we have to be the first arrival of.",streetlight
"The garbage is a sculpture that we have to be the first appearance of.",garbage
"The road is a movie that we have to be the first debut of.",potholes
"The streetlight is a play that we have to be the first introduction of.",streetlight
"The garbage is a dance that we have to be the first presentation of.",garbage
"The road is a symphony that we have to be the first performance of.",potholes
"The streetlight is a novel that we have to be the first exhibition of.",streetlight
"The garbage is a painting that we have to be the first display of.",garbage
"The road is a sculpture that we have to be the first show of.",potholes
"The streetlight is a movie that we have to be the first screening of.",streetlight
"The garbage is a play that we have to be the first production of.",garbage
"The road is a dance that we have to be the first staging of.",potholes
"The streetlight is a symphony that we have to be the first concert of.",streetlight
"The garbage is a novel that we have to be the first publication of.",garbage
"The road is a painting that we have to be the first release of.",potholes
"The streetlight is a sculpture that we have to be the first launch of.",streetlight
"The garbage is a movie that we have to be the first premiere of.",garbage
"The road is a play that we have to be the first opening of.",potholes
"The streetlight is a dance that we have to be the first inauguration of.",streetlight
"The garbage is a symphony that we have to be the first initiation of.",garbage
"The road is a novel that we have to be the first commencement of.",potholes
"The streetlight is a painting that we have to be the first beginning of.",streetlight
"The garbage is a sculpture that we have to be the first start of.",garbage
"The road is a movie that we have to be the first origin of.",potholes
"The streetlight is a play that we have to be the first source of.",streetlight
"The garbage is a dance that we have to be the first genesis of.",garbage
"The road is a symphony that we have to be the first alpha of.",potholes
"The streetlight is a novel that we have to be the first dawn of.",streetlight
"The garbage is a painting that we have to be the first morning of.",garbage
"The road is a sculpture that we have to be the first sunrise of.",potholes
"The streetlight is a movie that we have to be the first light of.",streetlight
"The garbage is a play that we have to be the first scene of.",garbage
"The road is a dance that we have to be the first step of.",potholes
"The streetlight is a symphony that we have to be the first note of.",streetlight
"The garbage is a novel that we have to be the first word of.",garbage
"The road is a painting that we have to be the first stroke of.",potholes
"The streetlight is a sculpture that we have to be the first cut of.",streetlight
"The garbage is a movie that we have to be the first frame of.",garbage
"The road is a play that we have to be the first line of.",potholes
"The streetlight is a dance that we have to be the first move of.",streetlight
"The garbage is a symphony that we have to be the first sound of.",garbage
"The road is a novel that we have to be the first letter of.",potholes
"The streetlight is a painting that we have to be the first color of.",streetlight
"The garbage is a sculpture that we have to be the first shape of.",garbage
"The road is a movie that we have to be the first image of.",potholes
"The streetlight is a play that we have to be the first character of.",streetlight
"The garbage is a dance that we have to be the first rhythm of.",garbage
"The road is a symphony that we have to be the first melody of.",potholes
"The streetlight is a novel that we have to be the first plot of.",streetlight
"The garbage is a painting that we have to be the first subject of.",garbage
"The road is a sculpture that we have to be the first form of.",potholes
"The streetlight is a movie that we have to be the first theme of.",streetlight
"The garbage is a play that we have to be the first setting of.",garbage
"The road is a dance that we have to be the first style of.",potholes
"The streetlight is a symphony that we have to be the first genre of.",streetlight
"The garbage is a novel that we have to be the first chapter of.",garbage
"The road is a painting that we have to be the first masterpiece of.",potholes
"The streetlight is a sculpture that we have to be the first wonder of.",streetlight
"The garbage is a movie that we have to be the first blockbuster of.",garbage
"The road is a play that we have to be the first classic of.",potholes
"The streetlight is a dance that we have to be the first legend of.",streetlight
"The garbage is a symphony that we have to be the first magnum opus of.",garbage
"The road is a novel that we have to be the first bestseller of.",potholes
"The streetlight is a painting that we have to be the first icon of.",streetlight
"The garbage is a sculpture that we have to be the first marvel of.",garbage
"The road is a movie that we have to be the first epic of.",potholes
"The streetlight is a play that we have to be the first saga of.",streetlight
"The garbage is a dance that we have to be the first myth of.",garbage
"The road is a symphony that we have to be the first anthem of.",potholes
"The streetlight is a novel that we have to be the first testament of.",streetlight
"The garbage is a painting that we have to be the first monument of.",garbage
"The road is a sculpture that we have to be the first memorial of.",potholes
"The streetlight is a movie that we have to be the first tribute of.",streetlight
"The garbage is a play that we have to be the first homage of.",garbage
"The road is a dance that we have to be the first celebration of.",potholes
"The streetlight is a symphony that we have to be the first festival of.",streetlight
"The garbage is a novel that we have to be the first holiday of.",garbage
"The road is a painting that we have to be the first vacation of.",potholes
"The streetlight is a sculpture that we have to be the first journey of.",streetlight
"The garbage is a movie that we have to be the first adventure of.",garbage
"The road is a play that we have to be the first quest of.",potholes
"The streetlight is a dance that we have to be the first exploration of.",streetlight
"The garbage is a symphony that we have to be the first discovery of.",garbage
"The road is a novel that we have to be the first invention of.",potholes
"The streetlight is a painting that we have to be the first creation of.",streetlight
"The garbage is a sculpture that we have to be the first innovation of.",garbage
"The road is a movie that we have to be the first revolution of.",potholes
"The streetlight is a play that we have to be the first transformation of.",streetlight
"The garbage is a dance that we have to be the first evolution of.",garbage
"The road is a symphony that we have to be the first metamorphosis of.",potholes
"The streetlight is a novel that we have to be the first rebirth of.",streetlight
"The garbage is a painting that we have to be the first renaissance of.",garbage
"The road is a sculpture that we have to be the first revival of.",potholes
"The streetlight is a movie that we have to be the first resurrection of.",streetlight
"The garbage is a play that we have to be the first comeback of.",garbage
"The road is a dance that we have to be the first return of.",potholes
"The streetlight is a symphony that we have to be the first reunion of.",streetlight
"The garbage is a novel that we have to be the first homecoming of.",garbage
"The road is a painting that we have to be the first arrival of.",potholes
"The streetlight is a sculpture that we have to be the first appearance of.",streetlight
"The garbage is a movie that we have to be the first debut of.",garbage
"The road is a play that we have to be the first introduction of.",potholes
"The streetlight is a dance that we have to be the first presentation of.",streetlight
"The garbage is a symphony that we have to be the first performance of.",garbage
"The road is a novel that we have to be the first exhibition of.",potholes
"The streetlight is a painting that we have to be the first display of.",streetlight
"The garbage is a sculpture that we have to be the first show of.",garbage
"The road is a movie that we have to be the first screening of.",potholes
"The streetlight is a play that we have to be the first production of.",streetlight
"The garbage is a dance that we have to be the first staging of.",garbage
"The road is a symphony that we have to be the first concert of.",potholes
"The streetlight is a novel that we have to be the first publication of.",streetlight
"The garbage is a painting that we have to be the first release of.",garbage
"The road is a sculpture that we have to be the first launch of.",potholes
"The streetlight is a movie that we have to be the first premiere of.",streetlight
"The garbage is a play that we have to be the first opening of.",garbage
"The road is a dance that we have to be the first inauguration of.",potholes
"The streetlight is a symphony that we have to be the first initiation of.",streetlight
"The garbage is a novel that we have to be the first commencement of.",garbage
"The road is a painting that we have to be the first beginning of.",potholes
"The streetlight is a sculpture that we have to be the first start of.",streetlight
"The garbage is a movie that we have to be the first origin of.",garbage
"The road is a play that we have to be the first source of.",potholes
"The streetlight is a dance that we have to be the first genesis of.",streetlight
"The garbage is a symphony that we have to be the first alpha of.",garbage
"The road is a novel that we have to be the first dawn of.",potholes
text,label
"Light kharab.",streetlight
"Gaddha hai.",potholes
"Kachra.",garbage
"Safai nahi.",garbage
"Streetlight out.",streetlight
"Big pothole.",potholes
"Gandagi.",garbage
"Light band.",streetlight
"Road kharab.",potholes
"Kooda.",garbage
"No cleaning.",garbage
"Light issue.",streetlight
"Pothole here.",potholes
"Trash everywhere.",garbage
"Light not working.",streetlight
"Gaddha.",potholes
"Saaf karo.",garbage
"Batti naikhe.",streetlight
"Rasta tutal.",potholes
"Kachra pada hai.",garbage
"Unclean.",garbage
"Broken light.",streetlight
"Damaged road.",potholes
"Garbage pile.",garbage
"Light problem.",streetlight
"Khadda ba.",potholes
"Kachra uthao.",garbage
"No streetlight.",streetlight
"Pothole.",potholes
"Dirty area.",garbage
"Batti butal ba.",streetlight
"Sarak kharab.",potholes
"Kooda pada hai.",garbage
"Safai chahiye.",garbage
"Faulty light.",streetlight
"Deep pothole.",potholes
"Too much garbage.",garbage
"Dark street.",streetlight
"Road damage.",potholes
"Filth.",garbage
"Light off.",streetlight
"Gaddhe.",potholes
"Clean this mess.",garbage
"No light here.",streetlight
"Bad road.",potholes
"Garbage problem.",garbage
"Light fuse.",streetlight
"Road broken.",potholes
"Kachra ka dher.",garbage
"Gandagi hai.",garbage
"Streetlight dead.",streetlight
"Pothole danger.",potholes
"Remove trash.",garbage
"The streetlight in front of Mohan's shop is broken.",streetlight
"Streetlight near the public park has been off for a week.",streetlight
"Mandir ke paas bahut kachra pada hai, please saaf karwao.",garbage
"Main road par ek gehra gaddha hai, raat me dikhta nahi.",potholes
"Hamar gaav ke sarak bahut kharab ba.",potholes
"Kachra wala gaadi aaj bhi nahi aaya.",garbage
"Pole number 87 ki light kaam nahi kar rahi.",streetlight
"The dustbin in our lane is constantly overflowing.",garbage
"Is gali mein itne gaddhe hain ki chalna mushkil hai.",potholes
"Rasta ke batti ek hafta se butal ba.",streetlight
"There is a huge pile of garbage blocking the road.",garbage
"A big pothole right after the flyover is a major hazard.",potholes
"School ke saamne wali streetlight kharab hai.",streetlight
"Kudedaan se kachra bahar gir raha hai.",garbage
"Hiyan road par paani jamal ba aur gaddha bhi ba.",potholes
"The streetlights in Sector 12 are very dim.",streetlight
"No one has come to collect the trash for three days.",garbage
"My bike's shocker got damaged due to a pothole.",potholes
"Khamba ke taar toot gail ba, light naikhe aawat.",streetlight
"Sabji mandi me gandagi bahut hai.",garbage
"Gaddhe ke karan roj yahan jam lagta hai.",potholes
"Flickering streetlight is very irritating.",streetlight
"Garbage collection is very irregular in this area.",garbage
"Please repair the damaged road near the bus stop.",potholes
"Anhaar ho jaala sanjhiya ke, batti theek karayi.",streetlight
"Kachra uthane ka koi a permanent solution nikaliye.",garbage
"Sarak ke halat itna kharab ba ki ka kahi.",potholes
"Light on the corner of the street is dead.",streetlight
"Waste is dumped on the empty plot next to my house.",garbage
"This pothole has been here for months.",potholes
"Raat me is road par andhera rehta hai.",streetlight
"Nali ka kachra sadak par aa gaya hai.",garbage
"Gaddhe me paani bharne se machhar ho gaye hain.",potholes
"Battiya theek se na jarat, aavela jaala.",streetlight
"Please clean the garbage near the transformer.",garbage
"Road aake banwa dihi, bahut dikkat hola.",potholes
"A streetlight bulb needs to be replaced.",streetlight
"The trash can is broken and smells bad.",garbage
"Pothole caused my car's tyre to burst.",potholes
"Hamare mohalla ke light kab banegi?",streetlight
"Kachra gaadi time se nahi aati hai.",garbage
"Is baarish me sadak ki pol khul gayi hai.",potholes
"Khamba number 12 ke batti फ्यूज ho gail ba.",streetlight
"Hospital ke paas kachra nahi utha hai.",garbage
"Chhota gaddha ab bada hota ja raha hai.",potholes
"The light outside my apartment is not working.",streetlight
"Garbage is scattered all over the market place.",garbage
"The road is full of cracks and potholes.",potholes
"Gali ke nukkad wali light band padi hai.",streetlight
"Kachra fekne ke liye koi jagah hi nahi hai.",garbage
"Rasta etna tutal ba ki chale me dar lagela.",potholes
"Request to install a new streetlight here.",streetlight
"The smell from the garbage dump is unbearable.",garbage
"Driving on this road is a nightmare.",potholes
"Batti na rahe se chori ke dar lagela.",streetlight
"Kachra ke dher me जानवर muh marte hain.",garbage
"Please fill the pothole before someone gets hurt.",potholes
